Universidad,Licenciatura,Integridad Académica
Universidad Autónoma de Baja California,Filosofía,Baja Integridad
Universidad Autónoma de Yucatán,Medicina,Baja Integridad
Universidad Autónoma Metropolitana,Matemáticas,Baja Integridad
Universidad Autónoma de Nuevo León,Diseño Gráfico,Alta Integridad
Universidad Autónoma de Querétaro,Sociología,Alta Integridad
Universidad Autónoma del Estado de México,Matemáticas,Baja Integridad
Universidad Nacional Autónoma de México,Psicología,Alta Integridad
Universidad Autónoma de Baja California,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Derecho,Alta Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Alta Integridad
Universidad Autónoma del Estado de México,Sociología,Moderada Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Nuevo León,Psicología,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Alta Integridad
Universidad Autónoma del Estado de México,Biología,Moderada Integridad
Universidad Autónoma de Chihuahua,Biología,Alta Integridad
Universidad Autónoma de Nuevo León,Nutrición,Baja Integridad
Universidad Autónoma de Nuevo León,Administración,Alta Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Moderada Integridad
Universidad Nacional Autónoma de México,Administración,Moderada Integridad
Universidad Autónoma de Nuevo León,Psicología,Alta Integridad
Universidad Nacional Autónoma de México,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Alta Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Alta Integridad
Universidad Nacional Autónoma de México,Historia,Moderada Integridad
Universidad Autónoma de Yucatán,Diseño Gráfico,Alta Integridad
Universidad Autónoma del Estado de México,Historia,Moderada Integridad
Universidad Autónoma de Chihuahua,Sociología,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Querétaro,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Yucatán,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Querétaro,Filosofía,Baja Integridad
Universidad Autónoma de San Luis Potosí,Sociología,Moderada Integridad
Universidad Autónoma de Nuevo León,Sociología,Baja Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma Metropolitana,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Yucatán,Pedagogía,Alta Integridad
Universidad Nacional Autónoma de México,Derecho,Alta Integridad
Universidad Autónoma de San Luis Potosí,Psicología,Baja Integridad
Universidad Autónoma Metropolitana,Historia,Baja Integridad
Universidad Autónoma de Nuevo León,Derecho,Moderada Integridad
Universidad Nacional Autónoma de México,Administración,Moderada Integridad
Universidad Autónoma de Querétaro,Psicología,Baja Integridad
Universidad Autónoma de Querétaro,Historia,Alta Integridad
Universidad Autónoma de Nuevo León,Arquitectura,Baja Integridad
Universidad Autónoma de San Luis Potosí,Arquitectura,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Moderada Integridad
Universidad Nacional Autónoma de México,Administración,Baja Integridad
Universidad Autónoma de Yucatán,Administración,Alta Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Alta Integridad
Universidad Autónoma del Estado de México,Matemáticas,Alta Integridad
Universidad Autónoma de Chihuahua,Medicina,Moderada Integridad
Universidad Autónoma del Estado de México,Economía,Alta Integridad
Universidad Nacional Autónoma de México,Nutrición,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Arquitectura,Alta Integridad
Universidad Autónoma de Querétaro,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Nuevo León,Ciencias Políticas,Alta Integridad
Universidad Autónoma del Estado de México,Nutrición,Baja Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Baja Integridad
Universidad Nacional Autónoma de México,Filosofía,Baja Integridad
Universidad Autónoma del Estado de México,Biología,Alta Integridad
Universidad Autónoma de Querétaro,Filosofía,Baja Integridad
Universidad Nacional Autónoma de México,Arquitectura,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Baja California,Matemáticas,Baja Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Nuevo León,Administración,Baja Integridad
Universidad Autónoma Metropolitana,Psicología,Baja Integridad
Universidad Autónoma del Estado de México,Biología,Moderada Integridad
Universidad Autónoma de Nuevo León,Biología,Baja Integridad
Universidad Autónoma de Nuevo León,Comunicación,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Chihuahua,Administración,Baja Integridad
Universidad Autónoma de Nuevo León,Derecho,Alta Integridad
Universidad Autónoma de Baja California,Diseño Gráfico,Alta Integridad
Universidad Autónoma del Estado de México,Medicina,Baja Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Alta Integridad
Universidad Autónoma de Querétaro,Economía,Alta Integridad
Universidad Autónoma de Yucatán,Historia,Alta Integridad
Universidad Nacional Autónoma de México,Administración,Baja Integridad
Universidad Nacional Autónoma de México,Biología,Alta Integridad
Universidad Autónoma de Baja California,Pedagogía,Baja Integridad
Universidad Autónoma de Chihuahua,Nutrición,Moderada Integridad
Universidad Autónoma de Yucatán,Matemáticas,Baja Integridad
Universidad Autónoma de Chihuahua,Administración,Baja Integridad
Universidad Autónoma de Chihuahua,Historia,Alta Integridad
Universidad Autónoma de Nuevo León,Historia,Alta Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Guadalajara,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma del Estado de México,Medicina,Baja Integridad
Universidad Autónoma de Chihuahua,Contaduría,Baja Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Querétaro,Administración,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Guadalajara,Comunicación,Alta Integridad
Universidad Autónoma de Nuevo León,Diseño Gráfico,Baja Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Baja California,Ciencias Políticas,Alta Integridad
Universidad Autónoma de San Luis Potosí,Filosofía,Baja Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Yucatán,Contaduría,Baja Integridad
Universidad Autónoma de Baja California,Diseño Gráfico,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Chihuahua,Contaduría,Alta Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Filosofía,Baja Integridad
Universidad Autónoma Metropolitana,Biología,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Baja Integridad
Universidad Autónoma de Nuevo León,Comunicación,Baja Integridad
Universidad Autónoma de Querétaro,Biología,Alta Integridad
Universidad Autónoma de Baja California,Derecho,Baja Integridad
Universidad Nacional Autónoma de México,Ingeniería Civil,Moderada Integridad
Universidad Nacional Autónoma de México,Nutrición,Alta Integridad
Universidad Autónoma de Yucatán,Comunicación,Alta Integridad
Universidad Autónoma de Baja California,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Moderada Integridad
Universidad Nacional Autónoma de México,Contaduría,Moderada Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Querétaro,Administración,Moderada Integridad
Universidad Nacional Autónoma de México,Matemáticas,Baja Integridad
Universidad Autónoma del Estado de México,Historia,Alta Integridad
Universidad Autónoma de Querétaro,Derecho,Alta Integridad
Universidad Autónoma de Baja California,Ciencias Políticas,Moderada Integridad
Universidad Autónoma del Estado de México,Historia,Alta Integridad
Universidad Autónoma de San Luis Potosí,Derecho,Moderada Integridad
Universidad Autónoma Metropolitana,Medicina,Alta Integridad
Universidad Autónoma de Baja California,Comunicación,Alta Integridad
Universidad Autónoma de Querétaro,Filosofía,Alta Integridad
Universidad Autónoma de Yucatán,Filosofía,Baja Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Alta Integridad
Universidad Nacional Autónoma de México,Administración,Baja Integridad
Universidad Autónoma de Querétaro,Pedagogía,Alta Integridad
Universidad Autónoma Metropolitana,Economía,Alta Integridad
Universidad Autónoma Metropolitana,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Baja California,Matemáticas,Alta Integridad
Universidad Autónoma de Yucatán,Biología,Alta Integridad
Universidad Autónoma de Querétaro,Economía,Alta Integridad
Universidad Autónoma de Baja California,Pedagogía,Baja Integridad
Universidad Nacional Autónoma de México,Comunicación,Alta Integridad
Universidad Autónoma de San Luis Potosí,Biología,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Nuevo León,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Guadalajara,Psicología,Moderada Integridad
Universidad Autónoma de Querétaro,Contaduría,Alta Integridad
Universidad Autónoma de Nuevo León,Medicina,Moderada Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de San Luis Potosí,Medicina,Alta Integridad
Universidad Autónoma de Yucatán,Diseño Gráfico,Alta Integridad
Universidad Autónoma del Estado de México,Contaduría,Baja Integridad
Universidad Autónoma de Querétaro,Economía,Alta Integridad
Universidad Autónoma de Yucatán,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Guadalajara,Medicina,Baja Integridad
Universidad Autónoma de Querétaro,Derecho,Alta Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Moderada Integridad
Universidad Autónoma de Nuevo León,Sociología,Alta Integridad
Universidad Autónoma de Guadalajara,Filosofía,Baja Integridad
Universidad Autónoma de Guadalajara,Medicina,Alta Integridad
Universidad Autónoma de Yucatán,Administración,Baja Integridad
Universidad Autónoma de Nuevo León,Sociología,Moderada Integridad
Universidad Autónoma de Chihuahua,Ciencias Políticas,Baja Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Yucatán,Pedagogía,Moderada Integridad
Universidad Autónoma de Guadalajara,Contaduría,Moderada Integridad
Universidad Autónoma de Chihuahua,Psicología,Moderada Integridad
Universidad Autónoma de Guadalajara,Contaduría,Baja Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Yucatán,Comunicación,Alta Integridad
Universidad Autónoma del Estado de México,Historia,Baja Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Guadalajara,Economía,Moderada Integridad
Universidad Autónoma de Chihuahua,Nutrición,Alta Integridad
Universidad Autónoma Metropolitana,Psicología,Baja Integridad
Universidad Autónoma Metropolitana,Nutrición,Moderada Integridad
Universidad Autónoma de Chihuahua,Medicina,Baja Integridad
Universidad Autónoma de Querétaro,Arquitectura,Moderada Integridad
Universidad Nacional Autónoma de México,Administración,Baja Integridad
Universidad Autónoma de Querétaro,Biología,Alta Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Yucatán,Comunicación,Moderada Integridad
Universidad Autónoma del Estado de México,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Yucatán,Biología,Baja Integridad
Universidad Autónoma de Yucatán,Filosofía,Alta Integridad
Universidad Autónoma de Baja California,Contaduría,Moderada Integridad
Universidad Autónoma de Chihuahua,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Baja Integridad
Universidad Autónoma Metropolitana,Historia,Moderada Integridad
Universidad Autónoma de Querétaro,Matemáticas,Alta Integridad
Universidad Autónoma de Yucatán,Sociología,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de San Luis Potosí,Arquitectura,Baja Integridad
Universidad Autónoma de Chihuahua,Nutrición,Moderada Integridad
Universidad Autónoma de Nuevo León,Economía,Baja Integridad
